General,General
Enabled,Enabled
Page Layout for list page,Page Layout for list page
Page Layout for detail page,Page Layout for detail page
Select Yes to enable this feature,Select Yes to enable this feature
Choose page layout for news list page,Choose page layout for news list page
Choose page layout for news detail page,Choose page layout for news detail page
News,News
Yes,Yes
No,No
News Manager,News Manager
Add News,Add News
News Information,News Information
Publishing Options,Publishing Options
Seo Options,Seo Options
Title ,Title 
Published?,Published?
Intro ,Intro 
Content ,Content 
Start publishing on,Start publishing on
End publishing on,End publishing on
Browser Title,Browser Title
Keywords,Keywords
Description,Description
Save News,Save News
Delete News,Delete News
Edit News,Edit News
